Image,Name,Price,Rating
empty image url,".css-20kt3o{color:var(--NN1000,rgba(0,0,0,0.7));display:-webkit-box;max-height:38px;font-size:14px;font-weight:600;line-height:19px;overflow:hidden;white-space:normal;word-wrap:break-word;}OPPO A96 8/256GB Smartphone (Garansi Resmi) - Flash Promo.css-1nl8cnn{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;margin:4px 0;font-size:0.7142857142857143rem;}.css-1nl8cnn div:nth-child(1){width:30px;height:20px;border-radius:3px;background-color:var(--RN100,#FFDBE2);font-weight:bold;color:var(--RN400,#FF7182);display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-box-pack:center;-webkit-justify-content:center;-ms-flex-pack:center;justify-content:center;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;}.css-1nl8cnn div:nth-child(2){opacity:0.4;color:var(--NN900,#2E3137);-webkit-text-decoration:line-through;text-decoration:line-through;margin-left:4px;max-width:100px;overflow:hidden;white-space:nowrap;text-overflow:ellipsis;}31%Rp4.299.000.css-pp6b3e{display:block;width:100%;font-size:14px;font-weight:bold;color:var(--YN500,#FF7F17);white-space:nowrap;overflow:hidden;text-overflow:ellipsis;line-height:22px;}.css-pp6b3e > span:only-child{margin:0px;}.css-o5uqvq{margin-left:5px;}Rp2.966.000.css-tpww51{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.8571428571428571rem;line-height:1.5;margin:4px 0px;}.css-vbihp9{display:inline-block;overflow:hidden;text-overflow:ellipsis;height:20px;vertical-align:top;}.css-ywdpwd{display:block;width:100%;font-size:0.8571428571428571rem;height:20px;color:var(--NN1000,rgba(0,0,0,0.54));margin-top:0;text-overflow:ellipsis;overflow:hidden;-webkit-transition:-webkit-transform 0.3s;-webkit-transition:transform 0.3s;transition:transform 0.3s;-webkit-transform:unset;-ms-transform:unset;transform:unset;max-width:140px;}.css-ywdpwd.empty{display:none;}.css-54k5sq:hover .css-ywdpwd:not(.disable-trans){-webkit-transform:translateY(-19px);-ms-transform:translateY(-19px);transform:translateY(-19px);}TangerangOPPO OFFICIAL STORE.css-1riykrk{min-height:14px;font-size:0.8571428571428571rem;}.css-1riykrk div{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;margin:4px 0;}.css-1riykrk div span{vertical-align:middle;color:var(--NN400,#AAB4C8);margin-left:2px;}.css-177n1u3{height:12px;width:12px;margin:0.5px;} (386).css-nysll7{position:absolute;bottom:8px;right:8px;height:20px;width:20px;}.css-1f8sh1y{position:relative;width:100%;height:100%;}",Rp2.966.000,5
empty image url,realme c53 NFC 6/128GB Garansi ResmiRp1.799.000Jakarta TimurALL_SHOPE99 (189),Rp1.799.000,5
empty image url,Infinix Note 30 8/256 GB Garansi Resmi24%Rp2.599.000Rp1.968.000Jakarta Baratduniagadgetku (1386),Rp1.968.000,5
empty image url,FooomX (Aneka Warna)Rp170.000Jakarta SelatanFoom Gallery (17),Rp170.000,5
empty image url,Asus VivoBook K513EA panel Oled Intel core i3-1115G4 Ram 4 GB/256 SSDRp5.300.000Tangerangcahaya pamong (2),Rp5.300.000,5
empty image url,"vivo Y35 (8/128) - RAM 8GB+8GB Extended, 44W FlashCharge+5000mAh27%Rp3.399.000Rp2.495.000.css-1hy7m5k{width:16px;height:16px;margin-right:4px;display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-flex-shrink:0;-ms-flex-negative:0;flex-shrink:0;}.css-1hy7m5k img{width:100%;}Kab. Tangerangvivo Indonesia (132)",Rp2.495.000,5
empty image url,"(RESMI) Samsung Galaxy Z Fold 5 5G 256GB 512GB 1TB Ice Blue Black SEIN15%Rp24,9jtRp21.349.000Jakarta PusatPutra Group (125)",Rp21.349.000,5
empty image url,"Xiaomi Poco M5 4/64GB + 4/128GB Garansi Resmi38%Rp2,29jtRp1.416.000Jakarta Baratduniagadgetku (369)",Rp1.416.000,5
empty image url,"Itel S23 8/256 GB & 8/128 GB (8+8GB) RAM 16GB Garansi Resmi16%Rp1,49jtRp1.257.000Jakarta TimurNEW ERA PONSEL (897)",Rp1.257.000,5
empty image url,"ITEL S23 8/128GB & 8/256GB Garansi Resmi10%Rp1,39jtRp1.255.000Jakarta PusatPandawatiga (39)",Rp1.255.000,5
empty image url,"Xiaomi Poco F5 F5 Pro 5G 12/256 GB 8/256 GB Garansi RESMI not F4 GT F136%Rp7,99jtRp5.138.000Jakarta PusatOnestop Ponsel (83)",Rp5.138.000,5
empty image url,"Asus ROG Phone 7 Ultimate 16/512 12/256 8/256 Not Rog Phone 6 Pro29%Rp13,9jtRp9.954.000Jakarta PusatOnestop Ponsel (55)",Rp9.954.000,5
empty image url,Iceland Ice Land Mango Strawberry Grape Melon Watermelon Pear 30MLRp87.999Bandungmudahingat88 (27),Rp87.999,5
empty image url,FLASHSALE! Redmi 10C (4/64 - 4/128) Garansi Resmi BNIB Norepack8%Rp1.499.000Rp1.373.000Jakarta Pusatjikalaku (1128),Rp1.373.000,5
empty image url,INFINIX HOT 30I 8/128 8 128 GARANSI RESMIRp1.394.000BandungB8Shop (100),Rp1.394.000,5
empty image url,Vivo Y17S Garansi Resmi Vivo IndonesiaRp1.572.000Kab. TangerangGudang HP Tangerang (40),Rp1.572.000,5
empty image url,Tecno Pova 5 8/256 - RAM 8GB / ROM 256GB - Garansi ResmiRp1.999.000Jakarta PusatH2 Cellular (21),Rp1.999.000,5
empty image url,"Samsung Galaxy M23 5G [ 6/128GB ] Garansi Resmi23%Rp3,29jtRp2.524.000Jakarta PusatScorpio Electro (56)",Rp2.524.000,5
empty image url,"Xiaomi Redmi 12C 3/32GB 4/64GB 4/128GB [Garansi Resmi Xiaomi]15%Rp1,29jtRp1.099.000DenpasarPlanet Gadget (62)",Rp1.099.000,5
empty image url,"Infinix Smart 7 4/64GB Garansi Resmi13%Rp1,19jtRp1.047.500Jakarta Pusatjikalaku (51)",Rp1.047.500,5
empty image url,Anker 312 Charger 25W PPS PD SFC Fast Charging USB Type C - A2642Rp113.500Jakarta UtaraZTH Official (563),Rp113.500,5
empty image url,"ITEL Vision P40 4/64GB Garansi Resmi19%Rp1,09jtRp886.500Jakarta PusatPandawatiga (45)",Rp886.500,5
empty image url,"Samsung Galaxy A24 8/128GB Garansi Resmi16%Rp3,49jtRp2.952.000Jakarta PusatPandawatiga (58)",Rp2.952.000,5
empty image url,"vivo iQOO Z7x 8/256 - 80 watt + 6000 mAH, Snapdragon 69513%Rp3.699.000Rp3.215.000Kab. Tangerangvivo Indonesia (465)",Rp3.215.000,5
empty image url,"vivo iQOO Z7x 8/128 - 80 watt + 6000 mAH, Snapdragon 69515%Rp3.299.000Rp2.809.000Kab. Tangerangvivo Indonesia (741)",Rp2.809.000,5
empty image url,"Xiaomi Redmi A2 3/64 GB 3/32 GB Garansi Resmi Redmi A2 Not 9C 10C 12C53%Rp1,79jtRp840.000Jakarta PusatDistributor Ponsel (169)",Rp840.000,5
empty image url,Oppo reno 10 5G 8/256 garansi resmi indonesia oppoRp4.749.000Kab. Sukabumimahmud cellular (79),Rp4.749.000,5
empty image url,"Tecno Pova 5 Pro 5G 8/256 GB Up To RAM 16GB (8+8GB) Garansi Resmi15%Rp2,99jtRp2.544.000Jakarta TimurNEW ERA PONSEL (90)",Rp2.544.000,5
empty image url,New Redmi 12 8/128 8/256 GB 5G Resmi NOTe 30 PRO M5 12c 11 30i LITE Rp1.800.000Jakarta SelatanZeiL Store (97),Rp1.800.000,5
empty image url,Baseus Superior Kabel Fast Charger 100W USB Type C to C 1M 2M CATYSRp52.000Jakarta UtaraZTH Official (52),Rp52.000,5
empty image url,"Apple iPhone X 64GB Second mulus ex internasional,fullsetRp2.730.000Jakarta Pusatcellularline168 (658)",Rp2.730.000,5
empty image url,"iPhone SE 3 (2022) Garansi Resmi14%Rp8,99jtRp7.776.000Jakarta Baratigoods gadget (123)",Rp7.776.000,5
empty image url,"Samsung Galaxy S23 Ultra 12/256 12/512 GB 12/1TB 12GB 256GB 512GB SEIN18%Rp19,9jtRp16.416.000Jakarta PusatSUPER_GADGET (50)",Rp16.416.000,5
